#Note	Xon	Yon	Xoff	Yoff	W	H	DestX	DestY	DestZ	Name	Freq	Shape
21	3	3	3	0	3	3	0	0	1	#A0	27.5	I
22	9	3	9	0	3	3	1	0	2	#	29.1	
23	6	3	6	0	3	3	3	0	1	#B0	30.9	J
24	0	3	0	0	3	3	6	0	1	#C1	32.7	L
25	9	3	9	0	3	3	7	0	2	#	34.6	
26	3	3	3	0	3	3	9	0	1	#D1	36.7	I
27	9	3	9	0	3	3	10	0	2	#	38.9	
28	6	3	6	0	3	3	12	0	1	#E1	41.2	J
29	0	3	0	0	3	3	15	0	1	#F1	43.7	L
30	9	3	9	0	3	3	16	0	2	#	46.2	
31	3	3	3	0	3	3	18	0	1	#G1	49.0	I
32	9	3	9	0	3	3	19	0	2	#	51.9	
33	3	3	3	0	3	3	21	0	1	#A1	55.0	I
34	9	3	9	0	3	3	22	0	2	#	58.3	
35	6	3	6	0	3	3	24	0	1	#B1	61.7	J
36	0	3	0	0	3	3	27	0	1	#C2	65.4	L
37	9	3	9	0	3	3	28	0	2	#	69.3	
38	3	3	3	0	3	3	30	0	1	#D2	73.4	I
39	9	3	9	0	3	3	31	0	2	#	77.8	
40	6	3	6	0	3	3	33	0	1	#E2	82.4	J
41	0	3	0	0	3	3	36	0	1	#F2	87.3	L
42	9	3	9	0	3	3	37	0	2	#	92.5	
43	3	3	3	0	3	3	39	0	1	#G2	98.0	I
44	9	3	9	0	3	3	40	0	2	#	103.8	
45	3	3	3	0	3	3	42	0	1	#A2	110.0	I
46	9	3	9	0	3	3	43	0	2	#	116.5	
47	6	3	6	0	3	3	45	0	1	#B2	123.5	J
48	0	3	0	0	3	3	48	0	1	#C3	130.8	L
49	9	3	9	0	3	3	49	0	2	#	138.6	
50	3	3	3	0	3	3	51	0	1	#D3	146.8	I
51	9	3	9	0	3	3	52	0	2	#	155.6	
52	6	3	6	0	3	3	54	0	1	#E3	164.8	J
53	0	3	0	0	3	3	57	0	1	#F3	174.6	L
54	9	3	9	0	3	3	58	0	2	#	185.0	
55	3	3	3	0	3	3	60	0	1	#G3	196.0	I
56	9	3	9	0	3	3	61	0	2	#	207.7	
57	3	3	3	0	3	3	63	0	1	#A3	220.0	I
58	9	3	9	0	3	3	64	0	2	#	233.1	
59	6	3	6	0	3	3	66	0	1	#B3	246.9	J
60	0	3	0	0	3	3	69	0	1	#C4	261.6	L
61	9	3	9	0	3	3	70	0	2	#	277.2	
62	3	3	3	0	3	3	72	0	1	#D4	293.7	I
63	9	3	9	0	3	3	73	0	2	#	311.1	
64	6	3	6	0	3	3	75	0	1	#E4	329.6	J
65	0	3	0	0	3	3	78	0	1	#F4	349.2	L
66	9	3	9	0	3	3	79	0	2	#	370.0	
67	3	3	3	0	3	3	81	0	1	#G4	392.0	I
68	9	3	9	0	3	3	82	0	2	#	415.3	
69	3	3	3	0	3	3	84	0	1	#A4	440.0	I
70	9	3	9	0	3	3	85	0	2	#	466.2	
71	6	3	6	0	3	3	87	0	1	#B4	493.9	J
72	0	3	0	0	3	3	90	0	1	#C5	523.3	L
73	9	3	9	0	3	3	91	0	2	#	554.4	
74	3	3	3	0	3	3	93	0	1	#D5	587.3	I
75	9	3	9	0	3	3	94	0	2	#	622.3	
76	6	3	6	0	3	3	96	0	1	#E5	659.3	J
77	0	3	0	0	3	3	99	0	1	#F5	698.5	L
78	9	3	9	0	3	3	100	0	2	#	740.0	
79	3	3	3	0	3	3	102	0	1	#G5	784.0	I
80	9	3	9	0	3	3	103	0	2	#	830.6	
81	3	3	3	0	3	3	105	0	1	#A5	880.0	I
82	9	3	9	0	3	3	106	0	2	#	932.3	
83	6	3	6	0	3	3	108	0	1	#B5	987.8	J
84	0	3	0	0	3	3	111	0	1	#C6	1046.5	L
85	9	3	9	0	3	3	112	0	2	#	1108.7	
86	3	3	3	0	3	3	114	0	1	#D6	1174.7	I
87	9	3	9	0	3	3	115	0	2	#	1244.5	
88	6	3	6	0	3	3	117	0	1	#E6	1318.5	J
89	0	3	0	0	3	3	120	0	1	#F6	1396.9	L
90	9	3	9	0	3	3	121	0	2	#	1480.0	
91	3	3	3	0	3	3	123	0	1	#G6	1568.0	I
92	9	3	9	0	3	3	124	0	2	#	1661.2	
93	3	3	3	0	3	3	126	0	1	#A6	1760.0	I
94	9	3	9	0	3	3	127	0	2	#	1864.7	
95	6	3	6	0	3	3	129	0	1	#B6	1975.5	J
96	0	3	0	0	3	3	132	0	1	#C7	2093.0	L
97	9	3	9	0	3	3	133	0	2	#	2217.5	
98	3	3	3	0	3	3	135	0	1	#D7	2349.3	I
99	9	3	9	0	3	3	136	0	2	#	2489.0	
100	6	3	6	0	3	3	138	0	1	#E7	2637.0	J
101	0	3	0	0	3	3	141	0	1	#F7	2793.8	L
102	9	3	9	0	3	3	142	0	2	#	2960.0	
103	3	3	3	0	3	3	144	0	1	#G7	3136.0	I
104	9	3	9	0	3	3	145	0	2	#	3322.4	
105	3	3	3	0	3	3	147	0	1	#A7	3520.0	I
106	9	3	9	0	3	3	148	0	2	#	3729.3	
107	6	3	6	0	3	3	150	0	1	#B7	3951.1	J
108	0	3	0	0	3	3	153	0	1	#C8	4186.0	L
